	pex3Δ-1	pex3Δ-2	pex3Δ-3	pex3Δmsp1Δ-1	pex3Δmsp1Δ-2	pex3Δmsp1Δ-3	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
YDR444W	1300.89	976.671	1170.99	1235.76	1035.57	1510.18	0.13297213135987662	0.5420505889328497	0.999944336130877	0.2659601793857641	0.5435084580344743
RPS17B	2183.22	1870.22	2070.04	2348.97	2148.55	1657.28	0.007360201377546981	0.9652042712639513	0.999944336130877	0.015380764900155646	0.037897791284931794
ADA2	267.455	234.263	201.746	326.079	318.993	263.27	0.3687589941929057	0.06772928765585806	0.999944336130877	1.1692234920705462	2.0303141529688697
UTP6	24.8741	44.9505	28.8304	27.1338	35.398	26.3522	-0.1504684279578509	0.6563999036719159	0.999944336130877	0.18283149135258003	0.39178782298434667
RPS18A	1809.53	1365.98	1312.84	1653.08	1374.71	1036.19	-0.14329187898441945	0.5841380858198801	0.999944336130877	0.23348447682453854	0.48545411855245746
PPN1	736.812	576.031	607.777	802.601	654.456	543.193	0.05860821959239229	0.7822392091176666	0.999944336130877	0.10666041917310991	0.24136348150595535
TSA2	943.754	1070.72	1392.89	1124.01	1234.29	1085.06	0.015160946085815924	0.9362491947190421	0.999944336130877	0.028608542835042453	0.06950782925821093
GUK1	1454.43	1299.93	1709.29	1301.41	1708.8	1661.29	0.06566195973970738	0.7130882445285386	0.999944336130877	0.14685672296664212	0.32241174894819596
TOM1	199.899	191.121	167.645	180.733	216.691	196.99	0.08948465629336097	0.44768902007909644	0.999944336130877	0.3490235568953923	0.6866660660868108
HEH2	3131.48	3183.8	2587.6	3712.06	2592.39	3441.43	0.13052034869529294	0.5084258949287517	0.999944336130877	0.29377233825518045	0.5922061864723996
MRPL28	1564.88	923.783	777.072	932.89	940.724	753.993	-0.3136582132702195	0.4418768486034874	0.999944336130877	0.3546987519727692	0.6962221256357174
PKH3	351.188	368.687	312.852	314.146	302.595	272.432	-0.21592288381633426	0.08139612821383267	0.999944336130877	1.0893962527933414	1.8918964018676494
UGO1	2908.93	3343.51	3631.58	3487.9	2754.43	3431.34	-0.031034606262381952	0.8350911155235369	0.999944336130877	0.0782661367196972	0.18137067142084753
RPL27B	4805.26	3650.56	4839.37	4904.07	4107.59	4270.71	-0.001391802096103017	0.9930337381648668	0.999944336130877	0.003035996167334212	0.007584041608223832
TRS31	476.263	262.467	223.462	332.709	293.503	238.163	-0.15466745813693714	0.7152012454406955	0.999944336130877	0.14557173793759923	0.3198824918268572
JIP4	2569.54	3020.68	3028.53	3080.9	3098.02	1976.5	-0.07971946971222825	0.7196258859847386	0.999944336130877	0.14289322284437095	0.3145981156230168
YDR476C	1132.09	1167.21	1489.51	855.479	985.973	1637.03	-0.12328693861116008	0.7183155708458808	0.999944336130877	0.14368471931200116	0.3161613675523781
SNF1	331.091	770.905	451.396	369.962	578.371	384.942	-0.22044756119245232	0.6447585087889443	0.999944336130877	0.1906029178279423	0.40643975523561116
PEX29	2866.17	3851.13	3234.06	3060.76	3995.77	2573.98	-0.047281504213142284	0.8431076201138015	0.999944336130877	0.07411698547204901	0.1723851239936917
PHO8	5747.38	3186.15	4937.59	4923.39	3901.72	5844.7	0.08076590535574381	0.7913520191321387	0.999944336130877	0.10163028520197333	0.2309158475211811
KRE2	2523.92	1830.97	1791.69	1983.53	1750.49	2043.96	-0.08921869796134081	0.6539601860438569	0.999944336130877	0.18444869129009644	0.39484597559244256
