	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
SDS24	11.3806	7.29828	8.44324	8.43244	8.52264	11.236	12.4953	9.67603	9.7465	12.7689
HPC2	11.482	5.66028	8.68311	4.7886	16.8584	8.07721	7.66729	15.4098	10.3181	11.0551
PYC2	13.0458	4.30035	8.65766	5.29521	9.91945	10.6637	13.8108	10.9791	10.6614	12.6665
PDB1	9.32192	14.4394	10.7633	13.8561	7.55187	9.18595	8.92944	8.36085	8.786	8.80522
PCS60	9.74847	10.9147	8.35149	9.90342	9.76304	10.3259	10.7458	8.75799	11.029	10.4601
YBR225W	12.5426	5.69685	9.01693	6.0256	14.3101	9.84645	10.3348	10.84	10.5222	10.8644
MCX1	9.81663	13.1639	10.9741	12.6123	8.46307	9.35679	9.2161	8.51605	9.18214	8.69891
ROT2	8.67894	8.22824	11.453	8.71768	8.84448	11.2849	9.03934	10.739	14.1902	8.82426
OM14	14.7633	8.97407	10.6157	7.67245	14.7294	9.48041	6.90735	7.66811	8.36947	10.8196
ARC40	11.837	4.59835	19.1812	6.99802	9.20453	9.60436	9.76987	10.0107	12.6757	6.12034
YBR235W	12.698	4.28756	8.14604	5.10224	13.2723	9.52593	12.9545	11.57	8.89904	13.5445
ABD1	10.9685	4.54202	9.23442	5.63552	10.8782	10.9375	11.6965	12.3811	11.508	12.2183
YBR241C	13.3059	4.02916	8.05537	4.45189	11.9824	10.8667	13.128	10.6675	9.64848	13.8645
YBR242W	9.46086	12.0859	7.19416	7.53772	8.93589	10.6037	11.0192	13.3791	9.19751	10.5859
ALG7	11.3717	5.80244	9.19086	7.3859	9.74006	11.6319	12.0474	11.645	11.5077	9.6771
GPX2	11.3033	5.98977	7.54532	6.8417	11.3724	12.4268	10.0867	11.0391	12.4112	10.9838
ISW1	8.80704	5.79406	9.26477	6.5896	14.9248	7.85438	8.67708	16.0128	9.76482	12.3107
ENP1	10.9181	10.2514	10.0383	10.1825	9.4843	9.71403	9.98825	10.6646	9.23269	9.52582
HIS7	12.5721	3.4082	8.50583	4.49911	11.2991	10.0201	13.3451	11.8064	11.4064	13.1378
ARO4	11.8133	3.11994	7.55882	3.94025	9.23381	9.73784	16.3151	11.6009	11.615	15.065
MRPS5	8.24365	15.4974	10.1685	12.0903	8.7059	8.68664	9.80359	8.80711	9.11438	8.88246
DUT1	11.7608	5.0562	8.21214	5.70743	10.7695	8.52316	11.765	11.4788	12.4168	14.3102
YBR255C-A	9.02982	13.2319	8.60532	11.9209	12.5298	9.53714	8.69969	9.4619	8.75184	8.23161
MTC4	9.92832	5.82655	11.0025	6.71229	12.0997	13.3292	8.24453	10.1952	14.2731	8.38862
RGD1	10.2824	8.25155	9.51803	7.74906	15.2262	9.65232	9.39206	11.2118	9.20644	9.51013
TAE1	9.00471	8.25352	6.89774	8.16844	8.85613	16.2161	9.08209	10.6082	13.1397	9.77338
AIM5	9.39178	13.2222	10.7168	10.1197	8.9429	8.28256	10.0864	9.37261	7.9451	11.92
SHM1	8.7038	15.7327	10.9998	14.4306	7.82148	9.24171	8.40749	8.1334	8.75824	7.77077
YPT10	9.0737	8.07235	8.35935	8.68036	8.92654	12.988	10.6363	9.82579	12.3081	11.1295
TSC10	9.66426	8.06087	12.0844	12.3489	6.80554	8.66276	10.2605	10.301	9.72129	12.0905
